 Timestamp,  (|0)IVC-AZ, IVC-LV, IVC-CL, (^1)V-AZ,V-LV_YTilt,V-CL_XTilt,V-LV_RawY,V-CL_RawX, (^2)W-AZ, W-LV, W-CL, (^3)TC-AZ, TC-LV, TC-CL, (^4)DsXY-AZ_VCP,DsXY-LV_VCP,DsXY-CL_VCP,DsXY-Phase_VCP, (^5)ADMC-LV,ADMC-AZ,ADMC-REL,ADMC-AGC, (^8)Heading,GPS-Longitude,,GPS-Latitude,,Modem,Tx-Mute
02-22-2014 12:47:59:040 0|0,  -0.014,  -0.449,  +0.035^1,  +0.000,  -0.194,  -0.110^2,  -0.423,  +0.982,  +0.162^3,  -0.001,  +0.517,  -0.309^4,+194.908, +25.219,  +0.035, +74.000^5, +25.219,+194.908,+162.997,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:58:040 0|0,  -0.035,  -0.368,  +0.024^1,  +0.000,  -0.070,  -0.099^2,  -1.155,  +1.043,  -0.143^3,  +0.024,  +0.405,  -0.093^4,+194.887, +23.895,  +0.024, +96.000^5, +23.895,+194.887,+162.964,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:57:040 0|0,  -0.055,  -0.051,  +0.023^1,  +0.000,  +0.124,  -0.098^2,  -0.667,  -0.116,  +0.162^3,  -0.004,  -0.006,  -0.185^4,+194.868, +23.401,  +0.023,+103.000^5, +23.401,+194.868,+162.893,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:56:040 0|0,  -0.247,  -0.000,  +0.016^1,  +0.000,  +0.155,  -0.091^2,  +0.187,  +0.006,  +0.162^3,  +0.212,  -0.051,  -0.199^4,+194.499, +23.395,  +0.016,+117.000^5, +23.395,+194.499,+162.531,1509^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:55:040 0|0,  -0.410,  +0.007,  +0.016^1,  +0.000,  +0.073,  -0.116^2,  +0.431,  +0.067,  -0.204^3,  +0.141,  -0.060,  -0.192^4,+193.313, +23.402,  +0.016,+135.000^5, +23.402,+193.313,+161.366,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.448   35.365
02-22-2014 12:47:54:040 0|0,  -0.133,  +0.028,  +0.032^1,  +0.000,  +0.078,  -0.132^2,  -0.179,  -0.299,  -0.265^3,  +0.152,  -0.245,  -0.148^4,+192.068, +23.422,  +0.032, +74.000^5, +23.422,+192.068,+160.064,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:53:040 0|0,  +0.027,  +0.107,  +0.036^1,  +0.000,  +0.272,  -0.136^2,  -0.240,  -0.787,  +0.101^3,  -0.069,  -0.173,  -0.374^4,+191.950, +23.528,  +0.036, +70.000^5, +23.528,+191.950,+159.965,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:52:040 0|0,  +0.011,  +0.234,  +0.033^1,  +0.000,  +0.378,  -0.133^2,  +0.248,  -1.458,  -0.082^3,  -0.055,  -0.091,  -0.322^4,+191.934, +24.322,  +0.033, +88.000^5, +24.322,+191.934,+159.965,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:51:040 0|0,  +0.002,  +0.064,  +0.032^1,  +0.000,  +0.120,  -0.157^2,  -0.179,  -0.055,  -0.143^3,  -0.103,  -0.036,  -0.286^4,+191.925, +25.205,  +0.032,+110.000^5, +25.205,+191.925,+159.932,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:50:040 0|0,  +0.082,  -0.073,  +0.032^1,  +0.000,  +0.028,  -0.132^2,  -0.911,  +0.372,  +0.345^3,  -0.099,  +0.230,  -0.671^4,+192.023, +25.322,  +0.032,+132.000^5, +25.322,+192.023,+160.031,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:49:040 0|0,  +0.321,  -0.077,  +0.023^1,  +0.000,  +0.107,  -0.148^2,  -2.192,  +0.128,  +0.894^3,  -0.162,  +0.181,  -0.328^4,+192.940, +25.318,  +0.023,+135.000^5, +25.318,+192.940,+160.932,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:48:040 0|0,  +0.098,  -0.103,  +0.037^1,  +0.000,  +0.108,  -0.112^2,  -0.667,  +0.128,  -0.265^3,  -0.113,  +0.137,  -0.168^4,+193.915, +25.292,  +0.037, +67.000^5, +25.292,+193.915,+161.965,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.448   35.365
02-22-2014 12:47:47:040 0|0,  -0.032,  -0.275,  +0.026^1,  +0.000,  -0.055,  -0.126^2,  -0.545,  +0.616,  +0.162^3,  -0.067,  +0.454,  -0.283^4,+193.891, +25.055,  +0.026,+124.000^5, +25.055,+193.891,+161.932,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:46:040 0|0,  -0.005,  -0.168,  +0.036^1,  +0.000,  +0.161,  -0.111^2,  -0.423,  +0.250,  +0.101^3,  +0.007,  +0.299,  -0.475^4,+193.918, +24.364,  +0.036, +82.000^5, +24.364,+193.918,+161.932,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:45:040 0|0,  -0.168,  -0.055,  +0.024^1,  +0.000,  +0.186,  -0.149^2,  +0.065,  +0.006,  -0.082^3,  +0.136,  +0.108,  -0.384^4,+193.698, +24.339,  +0.024,+124.000^5, +24.339,+193.698,+161.696,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.448   35.365
02-22-2014 12:47:44:040 0|0,  -0.128,  -0.047,  +0.029^1,  +0.000,  +0.052,  -0.129^2,  -0.301,  +0.433,  +0.406^3,  -0.018,  +0.042,  -0.321^4,+193.008, +24.348,  +0.029,+121.000^5, +24.348,+193.008,+160.998,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:43:040 0|0,  -0.005,  -0.049,  +0.032^1,  +0.000,  +0.104,  -0.107^2,  -0.606,  +0.494,  +0.101^3,  -0.144,  +0.086,  -0.730^4,+192.918, +24.346,  +0.032,+132.000^5, +24.346,+192.918,+160.899,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:42:040 0|0,  +0.061,  -0.050,  +0.043^1,  +0.000,  +0.105,  -0.143^2,  -0.180,  -0.604,  +0.590^3,  -0.097,  -0.094,  -0.314^4,+192.983, +24.345,  +0.043, +60.000^5, +24.345,+192.983,+160.965,1505^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.448   35.365
02-22-2014 12:47:41:040 0|0,  +0.050,  -0.049,  +0.039^1,  +0.000,  +0.105,  -0.139^2,  -0.363,  +0.128,  +0.346^3,  -0.098,  -0.177,  -0.225^4,+192.973, +24.345,  +0.039, +74.000^5, +24.345,+192.973,+160.932,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:40:040 0|0,  +0.039,  -0.050,  +0.037^1,  +0.000,  +0.105,  -0.137^2,  -0.546,  -0.055,  +0.285^3,  -0.096,  -0.006,  -0.335^4,+192.962, +24.345,  +0.037, +85.000^5, +24.345,+192.962,+160.932,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:39:040 0|0,  +0.027,  -0.049,  +0.034^1,  +0.000,  +0.129,  -0.109^2,  -0.607,  -0.116,  -0.143^3,  -0.121,  +0.106,  -0.324^4,+192.949, +24.346,  +0.034, +99.000^5, +24.346,+192.949,+160.899,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.207
02-22-2014 12:47:38:040 0|0,  +0.009,  -0.044,  +0.030^1,  +0.000,  +0.075,  -0.105^2,  -0.363,  -0.055,  +0.284^3,  -0.155,  +0.031,  -0.438^4,+192.932, +24.350,  +0.030,+117.000^5, +24.350,+192.932,+160.866,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:37:040 0|0,  +0.000,  -0.041,  +0.027^1,  +0.000,  +0.071,  -0.102^2,  -0.362,  +0.189,  -0.021^3,  -0.203,  -0.035,  -0.259^4,+192.923, +24.354,  +0.027,+132.000^5, +24.354,+192.923,+160.833,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:36:040 0|0,  +0.070,  -0.043,  +0.042^1,  +0.000,  +0.073,  -0.092^2,  -0.180,  -0.116,  +0.223^3,  -0.089,  -0.102,  -0.205^4,+192.992, +24.352,  +0.042, +52.000^5, +24.352,+192.992,+160.932,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:35:040 0|0,  +0.056,  -0.045,  +0.039^1,  +0.000,  +0.075,  -0.114^2,  -0.424,  -0.360,  +0.162^3,  -0.136,  -0.026,  -0.254^4,+192.979, +24.350,  +0.039, +70.000^5, +24.350,+192.979,+160.899,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:34:040 0|0,  +0.057,  -0.044,  +0.038^1,  +0.000,  +0.049,  -0.038^2,  +0.003,  -0.055,  +0.467^3,  -0.043,  -0.044,  -0.212^4,+192.979, +24.351,  +0.038, +66.000^5, +24.351,+192.979,+160.899,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:33:040 0|0,  +0.040,  -0.038,  +0.032^1,  +0.000,  +0.068,  -0.057^2,  -0.607,  +0.250,  -0.265^3,  -0.163,  -0.118,  -0.316^4,+192.963, +24.357,  +0.032, +86.000^5, +24.357,+192.963,+160.899,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:32:040 0|0,  +0.018,  -0.039,  +0.030^1,  +0.000,  +0.069,  -0.030^2,  -0.729,  +0.189,  -0.082^3,  -0.143,  -0.065,  -0.611^4,+192.940, +24.356,  +0.030,+110.000^5, +24.356,+192.940,+160.866,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:31:040 0|0,  +0.005,  -0.042,  +0.021^1,  +0.000,  +0.047,  -0.021^2,  -0.485,  -0.238,  -0.082^3,  -0.096,  +0.092,  -0.303^4,+192.928, +24.353,  +0.021,+121.000^5, +24.353,+192.928,+160.833,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:30:040 0|0,  +0.078,  -0.035,  +0.033^1,  +0.000,  +0.065,  -0.008^2,  +0.369,  -0.177,  -0.265^3,  -0.086,  -0.210,  -0.051^4,+193.001, +24.360,  +0.033, +43.000^5, +24.360,+193.001,+160.932,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:29:040 0|0,  +0.061,  -0.039,  +0.026^1,  +0.000,  +0.045,  +0.049^2,  -0.302,  +0.189,  +0.284^3,  -0.087,  -0.026,  -0.088^4,+192.984, +24.355,  +0.026, +61.000^5, +24.355,+192.984,+160.899,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:28:040 0|0,  +0.059,  -0.039,  +0.025^1,  +0.000,  +0.044,  +0.025^2,  -0.363,  -0.299,  -0.021^3,  -0.117,  -0.137,  -0.115^4,+192.982, +24.356,  +0.025, +68.000^5, +24.356,+192.982,+160.899,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:27:040 0|0,  +0.041,  -0.039,  +0.021^1,  +0.000,  +0.070,  +0.028^2,  -0.424,  +0.311,  -0.082^3,  -0.162,  -0.032,  -0.215^4,+192.964, +24.356,  +0.021, +88.000^5, +24.356,+192.964,+160.866,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:26:040 0|0,  +0.028,  -0.038,  +0.018^1,  +0.000,  +0.043,  +0.057^2,  -0.424,  +0.250,  +0.101^3,  -0.147,  -0.051,  -0.350^4,+192.950, +24.357,  +0.018, +99.000^5, +24.357,+192.950,+160.866,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:25:040 0|0,  +0.000,  -0.035,  +0.006^1,  +0.000,  +0.040,  +0.069^2,  +0.064,  -0.482,  +0.101^3,  -0.182,  +0.208,  -0.047^4,+192.923, +24.360,  +0.006,+132.000^5, +24.360,+192.923,+160.833,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:24:040 0|0,  +0.078,  -0.027,  +0.028^1,  +0.000,  +0.057,  +0.072^2,  -0.059,  -0.116,  -0.082^3,  -0.131,  -0.115,  -0.096^4,+193.001, +24.368,  +0.028, +39.000^5, +24.368,+193.001,+160.899,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:23:040 0|0,  +0.073,  -0.030,  +0.023^1,  +0.000,  +0.060,  +0.052^2,  -0.242,  +0.250,  +0.162^3,  -0.089,  -0.118,  -0.045^4,+192.995, +24.365,  +0.023, +54.000^5, +24.365,+192.995,+160.899,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:22:040 0|0,  +0.052,  -0.034,  +0.022^1,  +0.000,  +0.039,  +0.078^2,  -0.119,  +0.128,  +0.040^3,  -0.111,  -0.094,  -0.324^4,+192.975, +24.361,  +0.022, +75.000^5, +24.361,+192.975,+160.899,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:21:040 0|0,  +0.038,  -0.036,  +0.014^1,  +0.000,  +0.066,  +0.111^2,  -0.363,  -0.055,  +0.101^3,  -0.109,  -0.094,  -0.170^4,+192.961, +24.359,  +0.014, +90.000^5, +24.359,+192.961,+160.866,1509^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:20:040 0|0,  +0.027,  -0.039,  +0.010^1,  +0.000,  +0.094,  +0.115^2,  -0.241,  +0.250,  +0.222^3,  -0.122,  -0.018,  -0.165^4,+192.950, +24.356,  +0.010, +99.000^5, +24.356,+192.950,+160.866,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.513   35.365
02-22-2014 12:47:19:040 0|0,  -0.002,  -0.037,  -0.002^1,  +0.000,  +0.067,  +0.127^2,  -0.485,  +0.372,  -0.327^3,  -0.120,  +0.080,  -0.009^4,+192.920, +24.358,  -0.002,+128.000^5, +24.358,+192.920,+160.833,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:18:040 0|0,  -0.008,  -0.033,  -0.005^1,  +0.000,  +0.038,  +0.155^2,  -0.119,  +0.066,  +0.405^3,  -0.119,  +0.116,  -0.124^4,+192.914, +24.362,  -0.005,+135.000^5, +24.362,+192.914,+160.833,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:17:040 0|0,  +0.066,  -0.035,  +0.009^1,  +0.000,  +0.041,  +0.141^2,  +0.124,  -0.178,  -0.327^3,  -0.104,  -0.079,  +0.169^4,+192.989, +24.359,  +0.009, +61.000^5, +24.359,+192.989,+160.899,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:16:040 0|0,  +0.053,  -0.034,  +0.005^1,  +0.000,  +0.089,  +0.170^2,  -0.486,  -0.239,  -0.144^3,  -0.074,  -0.083,  -0.169^4,+192.975, +24.361,  +0.005, +73.000^5, +24.361,+192.975,+160.899,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:15:040 0|0,  +0.042,  -0.029,  +0.000^1,  +0.000,  +0.085,  +0.175^2,  -0.791,  -0.300,  +0.222^3,  -0.184,  -0.066,  +0.128^4,+192.965, +24.365,  +0.000, +90.000^5, +24.365,+192.965,+160.866,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:14:040 0|0,  +0.047,  -0.011,  -0.005^1,  +0.000,  +0.116,  +0.180^2,  +0.124,  -0.300,  -0.144^3,  -0.199,  -0.170,  -0.052^4,+192.970, +24.384,  -0.005, +97.000^5, +24.384,+192.970,+160.866,1508^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:13:040 0|0,  +0.141,  +0.166,  +0.006^1,  +0.000,  +0.285,  +0.194^2,  -0.059,  -1.034,  +0.161^3,  -0.254,  -0.120,  +0.135^4,+193.093, +24.715,  +0.006, +49.000^5, +24.715,+193.093,+160.998,1506^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.207
02-22-2014 12:47:12:040 0|0,  +0.185,  +0.340,  +0.004^1,  +0.000,  +0.538,  +0.196^2,  -0.242,  -1.583,  +0.405^3,  -0.360,  -0.186,  -0.053^4,+193.257, +25.862,  +0.004, +63.000^5, +25.862,+193.257,+161.196,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
02-22-2014 12:47:11:040 0|0,  +0.188,  +0.402,  +0.001^1,  +0.000,  +0.537,  +0.174^2,  -0.852,  -2.193,  -0.205^3,  -0.379,  -0.194,  +0.086^4,+193.475, +27.688,  +0.001, +81.000^5, +27.688,+193.475,+161.432,1507^8, +32.000,  +9.895,E, +57.025,N,1,0,  38.358   35.365
