02-22-2014 10:45:46:320, WARNING, RemoteSystemStat_ta, Invalid GPS String: OFF, MXP,,,
02-22-2014 10:45:16:570, WARNING, RemoteSystemStat_ta, Invalid GPS String: ON, MXP,,,
02-22-2014 09:03:15:760, INFORMATION, Initialization_Task, Power On Self Test: Success., ICU,,,
02-22-2014 09:03:02:130, INFORMATION, SFS Task, Boot Loader Revision 1.0.9.1, ICU,,,
02-22-2014 09:03:02:130, INFORMATION, SFS Task, Build 106d (Build:221638), ICU,,,
02-22-2014 09:03:47:210, ERROR, RemoteSystemStat_ta, System Serial Number Mismatch: ON, MXP,,,
02-22-2014 09:03:02:130, INFORMATION, SFS Task, System Start, ICU,,,
02-22-2014 09:03:18:320, INFORMATION, Initialization_Task, Power On Self Test: Success., MXP,,,
02-22-2014 09:03:18:320, INFORMATION, Initialization_Task, Power On Self Test: SFP device is not connected., MXP,,,
02-22-2014 09:03:02:900, WARNING, SFS Task, FFS bad block counter (4) does not match NAND bad block counter (2), MXP,,,
02-22-2014 09:03:01:445, WARNING, smx_IdleTask, FFS bad block count changed from 2 to 4, 2 NAND bad blocks, 4 FS bad blocks, MXP,
02-22-2014 09:03:02:040, INFORMATION, SFS Task, Boot Loader Revision 1.0.9.1, MXP,,,
02-22-2014 09:03:02:040, INFORMATION, SFS Task, Build 106d (Build:221638), MXP,,,
02-22-2014 09:03:01:445, WARNING, smx_IdleTask, FFS bad block counter (4) does not match NAND bad block counter (2), MXP,,,
02-22-2014 09:03:02:040, INFORMATION, SFS Task, System Start, MXP,,,
02-22-2014 09:02:32:400, INFORMATION, webs_req_task0, Software Update In Progress: OFF, MXP,,,
02-22-2014 09:01:13:980, INFORMATION, webs_req_task0, Software Update In Progress: ON, MXP,,,
02-22-2014 08:54:43:880, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
02-22-2014 08:54:43:770, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
02-22-2014 08:54:43:540, INFORMATION, webs_req_task0, SET SATELLITE DESCRIPTION 1002 ME set by Dealer, MXP,,,
02-22-2014 08:54:43:520, INFORMATION, webs_req_task0, SET SATELLITE BAND 1 set by Dealer, MXP,,,
02-22-2014 08:54:43:500, INFORMATION, webs_req_task0, SET SATELLITE FREQ 1587.000 set by Dealer, MXP,,,
02-22-2014 08:54:40:170, INFORMATION, webs_req_task0, SET SATELLITE LON 1.0 W set by Dealer, MXP,,,
02-22-2014 08:48:19:250, INFORMATION, webs_req_task0, SET STATUS SYSTEM TX_MUTE OFF set by Dealer, MXP,,,
02-22-2014 08:48:13:050, INFORMATION, webs_req_task0, SET STATUS SYSTEM TX_MUTE ON set by Dealer, MXP,,,
02-22-2014 08:47:53:660, ERROR, RemoteSystemStat_ta, Stability Limit Error: OFF, MXP,,,
02-22-2014 08:47:49:720, ERROR, RemoteSystemStat_ta, Stability Limit Error: ON, MXP,,,
02-22-2014 08:47:42:480, INFORMATION, webs_req_task1, SET ANTENNA TRACKING OFF set by Dealer, MXP,,,
02-22-2014 08:29:05:240, WARNING, RemoteSystemStat_ta, Invalid GPS String: OFF, MXP,,,
